ID Mahasiswa,Nama,total_login,materi_selesai,skor_kuis_rata2,partisipasi_forum,durasi_total_akses,status_akademik_terakhir,interaksi_mingguan,jumlah_tugas_dikumpulkan,frekuensi_kuis,aktivitas_mobile,dropout
MHS0252,"Cut Carla Farida, S.Pd",27,14,74.3,9,33.1,IPK > 3.0,13,6,4,45.2,0
MHS0253,Ghaliyati Kuswandari,35,38,40.87,8,61.4,IPK < 2.5,24,9,2,15.5,0
MHS0254,"Cahyanto Suartini, M.TI.",34,56,56.16,5,8.1,IPK 2.5–3.0,23,6,7,56.3,0
MHS0255,Wahyu Yuliarti,46,77,88.65,4,65.4,IPK < 2.5,16,9,6,57.8,0
MHS0256,"R.M. Paiman Marpaung, S.Farm",39,85,69.01,2,39.6,IPK > 3.0,19,1,1,69.1,0
MHS0257,"Nabila Nasyidah, M.Farm",11,54,52.71,8,33.0,IPK < 2.5,35,13,1,12.3,0
MHS0258,Kamila Iswahyudi,20,11,66.09,4,88.6,IPK > 3.0,18,3,7,53.3,0
MHS0259,Dadi Astuti,30,36,57.13,4,48.7,IPK 2.5–3.0,15,4,2,14.2,0
MHS0260,Jagaraga Jailani,6,45,66.61,3,14.0,IPK < 2.5,30,13,3,66.1,0
MHS0261,Kasim Kuswoyo,5,45,46.29,3,83.5,IPK 2.5–3.0,31,11,5,14.5,0
MHS0262,Pandu Kuswoyo,16,35,46.64,0,9.5,IPK > 3.0,15,0,4,82.9,0
MHS0263,"Ulva Sihombing, S.Psi",9,52,47.18,6,74.0,IPK > 3.0,38,0,7,66.2,0
MHS0264,"Latika Ardianto, S.Sos",41,36,86.99,8,78.5,IPK 2.5–3.0,23,9,6,50.6,0
MHS0265,Margana Wijayanti,36,78,76.64,2,38.5,IPK < 2.5,10,2,7,45.3,0
MHS0266,"Rahmi Tampubolon, S.E.",13,29,48.12,1,83.4,IPK < 2.5,32,14,4,20.5,0
MHS0267,"Cut Rahayu Hidayat, M.Farm",45,20,49.42,2,54.0,IPK > 3.0,5,14,4,33.3,0
MHS0268,"R.A. Ella Prabowo, S.Kom",39,83,76.54,0,49.0,IPK 2.5–3.0,39,9,6,79.5,0
MHS0269,"Mulyanto Maulana, S.E.",23,47,47.81,5,9.3,IPK 2.5–3.0,12,2,6,82.4,1
MHS0270,Ir. Jumadi Sirait,20,15,51.73,6,32.6,IPK < 2.5,11,11,1,10.1,1
MHS0271,Gatot Nurdiyanti,7,81,88.17,1,93.4,IPK < 2.5,15,7,4,57.5,0
MHS0272,"Ihsan Prasetya, S.Kom",24,32,52.77,7,42.2,IPK < 2.5,8,8,5,67.5,0
MHS0273,Gada Nasyiah,28,56,73.08,5,56.9,IPK 2.5–3.0,29,14,5,59.5,0
MHS0274,Yahya Dongoran,37,99,88.93,3,55.5,IPK < 2.5,16,13,2,16.5,0
MHS0275,R. Nilam Mahendra,28,55,58.71,4,61.1,IPK < 2.5,30,10,7,27.4,0
MHS0276,Zelaya Budiyanto,15,21,40.88,7,10.8,IPK > 3.0,16,11,6,30.0,0
MHS0277,R.A. Gawati Siregar,12,99,52.21,2,39.4,IPK < 2.5,28,0,1,76.5,0
MHS0278,Shania Kurniawan,40,22,81.54,2,73.7,IPK < 2.5,20,13,5,47.1,0
MHS0279,"Cahya Prasasta, S.Ked",42,71,83.23,3,24.1,IPK 2.5–3.0,17,10,3,48.9,0
MHS0280,"Dr. Ulva Salahudin, S.Ked",44,91,78.43,0,24.3,IPK 2.5–3.0,29,1,1,84.8,0
MHS0281,"Puti Devi Sirait, S.T.",24,98,45.66,8,6.0,IPK > 3.0,8,9,1,61.0,0
MHS0282,Edward Hastuti,39,69,79.78,7,46.6,IPK < 2.5,15,1,5,81.9,1
MHS0283,Ulva Wulandari,29,52,85.93,7,88.9,IPK > 3.0,36,14,3,46.5,1
MHS0284,"Novi Maheswara, M.M.",39,85,70.03,9,9.9,IPK 2.5–3.0,11,3,2,22.0,1
MHS0285,Raditya Lestari,29,77,87.04,5,23.2,IPK > 3.0,15,1,5,84.4,0
MHS0286,"Dina Wijaya, M.M.",33,14,81.34,6,34.5,IPK 2.5–3.0,32,6,3,46.7,0
MHS0287,Teddy Novitasari,22,46,73.35,5,74.5,IPK > 3.0,27,12,1,24.5,0
MHS0288,"KH. Nugraha Pradipta, S.IP",22,81,68.86,8,65.9,IPK > 3.0,27,14,3,34.2,0
MHS0289,drg. Lalita Puspasari,6,40,57.43,2,44.5,IPK < 2.5,32,8,1,14.1,0
MHS0290,Ani Waluyo,39,18,47.96,2,77.1,IPK > 3.0,30,6,7,47.5,0
MHS0291,Genta Mansur,20,60,70.25,2,62.9,IPK < 2.5,29,11,5,78.3,0
MHS0292,"Puti Ulya Firmansyah, M.Ak",45,38,55.91,9,90.1,IPK < 2.5,33,5,6,84.7,1
MHS0293,Emin Hartati,40,87,83.32,2,82.7,IPK < 2.5,23,14,5,84.6,0
MHS0294,"Mila Marpaung, M.Kom.",37,49,89.67,8,29.0,IPK < 2.5,37,9,7,20.0,0
MHS0295,"Ir. Raditya Hutapea, M.TI.",8,50,77.62,3,30.8,IPK > 3.0,18,0,4,40.6,1
MHS0296,"Cindy Hastuti, S.Pd",37,95,44.52,6,16.9,IPK 2.5–3.0,18,10,4,12.3,0
MHS0297,Mala Wibisono,18,20,54.43,8,37.0,IPK 2.5–3.0,39,9,4,78.4,0
MHS0298,Vanya Nuraini,25,32,45.46,6,100.0,IPK 2.5–3.0,34,8,5,38.7,0
MHS0299,Oskar Yuniar,24,10,72.53,8,43.5,IPK > 3.0,32,4,2,60.5,1
MHS0300,Narji Lestari,12,55,78.26,2,25.9,IPK < 2.5,21,10,5,67.2,1
MHS0301,Jasmin Marpaung,11,30,86.28,3,77.4,IPK 2.5–3.0,7,4,7,44.4,0
MHS0302,"Raisa Hasanah, S.Kom",7,99,61.91,7,56.5,IPK > 3.0,20,5,7,34.5,1
MHS0303,Jasmin Hutapea,21,45,85.07,5,19.2,IPK < 2.5,34,8,6,87.0,0
MHS0304,Kasusra Wijayanti,37,63,83.89,4,41.2,IPK 2.5–3.0,33,12,3,87.2,0
MHS0305,Mala Natsir,16,96,55.86,3,44.4,IPK < 2.5,19,7,5,33.2,1
MHS0306,"Paulin Budiman, M.M.",26,66,83.45,7,76.6,IPK 2.5–3.0,29,7,5,48.4,0
MHS0307,Karimah Winarno,26,10,58.78,0,7.0,IPK 2.5–3.0,27,13,1,87.8,0
MHS0308,Najwa Farida,34,72,54.84,8,30.6,IPK 2.5–3.0,29,7,7,10.4,1
MHS0309,Laila Purnawati,42,63,72.45,0,54.2,IPK < 2.5,11,0,1,43.0,0
MHS0310,Ulya Nashiruddin,42,64,56.42,7,30.5,IPK > 3.0,26,0,1,18.0,0
MHS0311,"Kani Agustina, S.Sos",49,49,71.51,3,64.7,IPK < 2.5,21,7,5,50.7,0
MHS0312,Dalima Gunawan,12,24,70.49,8,50.8,IPK 2.5–3.0,22,4,2,12.0,0
MHS0313,Raditya Marbun,31,30,68.17,4,39.4,IPK < 2.5,14,8,3,42.6,0
MHS0314,Malika Prasetyo,31,56,59.02,2,95.2,IPK > 3.0,14,1,3,27.7,0
MHS0315,Tantri Sudiati,38,82,67.42,8,65.1,IPK < 2.5,11,8,7,52.7,0
MHS0316,drg. Adiarja Yulianti,25,62,69.82,8,17.3,IPK > 3.0,31,11,6,89.7,0
MHS0317,"Drs. Ifa Haryanto, M.Pd",34,18,67.28,3,58.2,IPK > 3.0,37,13,7,74.0,0
MHS0318,Ika Oktaviani,37,83,62.22,3,79.2,IPK < 2.5,5,7,2,77.7,0
MHS0319,Drs. Latif Pudjiastuti,32,61,40.73,7,72.3,IPK 2.5–3.0,38,8,2,60.8,1
MHS0320,"Sutan Jarwa Wahyuni, M.TI.",37,66,69.35,1,21.3,IPK > 3.0,8,3,3,13.3,0
MHS0321,Cahyanto Uyainah,9,35,48.42,8,97.4,IPK < 2.5,21,0,4,26.5,0
MHS0322,"Bagiya Sudiati, M.TI.",23,50,72.13,5,47.6,IPK > 3.0,8,0,1,84.0,1
MHS0323,R.A. Putri Zulaika,8,44,77.97,8,20.1,IPK 2.5–3.0,30,4,1,39.3,0
MHS0324,Cemeti Suryatmi,39,72,65.02,7,22.1,IPK < 2.5,8,1,3,18.3,1
MHS0325,"R.A. Ifa Pertiwi, S.Sos",21,34,67.12,6,14.3,IPK < 2.5,5,13,7,66.2,1
MHS0326,"Galih Wacana, M.Farm",48,99,87.57,0,81.3,IPK < 2.5,11,7,2,34.0,0
MHS0327,Bajragin Hasanah,32,84,82.36,2,16.6,IPK 2.5–3.0,34,9,7,31.5,0
MHS0328,Ophelia Yuliarti,34,47,85.71,1,16.9,IPK > 3.0,13,10,6,89.8,1
MHS0329,"R. Shakila Suryatmi, M.Farm",33,11,80.69,4,85.8,IPK < 2.5,39,4,4,78.7,0
MHS0330,H. Dadi Widodo,10,16,45.45,4,37.7,IPK > 3.0,12,4,3,42.6,0
MHS0331,Rina Palastri,39,91,47.45,4,7.9,IPK > 3.0,28,1,1,88.4,1
MHS0332,Kawaca Safitri,45,43,66.33,3,9.9,IPK 2.5–3.0,23,6,5,62.0,0
MHS0333,Karja Lailasari,41,26,52.3,4,18.5,IPK < 2.5,31,12,7,69.4,0
MHS0334,Nilam Waluyo,28,52,63.83,2,25.3,IPK > 3.0,36,7,2,12.5,0
MHS0335,Ganda Mardhiyah,33,68,59.72,0,68.2,IPK < 2.5,18,9,5,19.7,0
MHS0336,"Adhiarja Putra, S.IP",35,60,67.47,4,19.9,IPK < 2.5,22,12,6,60.6,0
MHS0337,"Sutan Laksana Pratama, M.Pd",39,63,77.34,8,16.3,IPK 2.5–3.0,32,0,3,81.9,0
MHS0338,Tantri Lazuardi,37,33,75.77,8,77.6,IPK < 2.5,33,1,7,59.9,0
MHS0339,R. Vanesa Purnawati,25,34,66.06,3,68.8,IPK < 2.5,20,9,1,20.7,0
MHS0340,Jarwadi Natsir,36,80,81.12,2,46.4,IPK > 3.0,39,3,7,19.3,0
MHS0341,Daniswara Prabowo,27,61,61.54,0,57.2,IPK 2.5–3.0,35,4,4,77.5,1
MHS0342,Dimas Hassanah,37,79,84.84,1,34.6,IPK < 2.5,8,12,5,21.1,0
MHS0343,R.M. Luis Mandasari,7,97,43.56,7,50.8,IPK > 3.0,21,1,4,51.6,0
MHS0344,Hartana Suryono,22,42,87.73,0,53.1,IPK 2.5–3.0,30,0,6,13.0,1
MHS0345,"Ir. Siska Wulandari, M.Farm",29,58,72.73,7,41.8,IPK 2.5–3.0,8,8,1,16.5,1
MHS0346,"Hasna Lazuardi, S.T.",46,38,59.0,6,91.1,IPK > 3.0,34,13,5,63.8,0
MHS0347,Jasmani Saputra,35,72,49.86,7,6.5,IPK > 3.0,34,0,6,65.1,0
MHS0348,Ir. Tira Siregar,7,31,63.96,5,79.3,IPK > 3.0,26,12,4,37.3,1
MHS0349,"T. Yahya Megantara, S.Pt",44,35,49.73,8,16.8,IPK > 3.0,15,14,4,27.2,0
MHS0350,"Asmianto Wulandari, M.Pd",28,37,48.32,2,80.8,IPK > 3.0,6,3,5,75.1,0
MHS0351,"Cut Michelle Lestari, S.Pt",36,94,70.87,9,63.5,IPK < 2.5,16,1,1,27.4,0
MHS0352,R.M. Johan Mandala,26,58,66.15,3,85.1,IPK < 2.5,34,10,4,53.4,0
MHS0353,Cut Icha Pratiwi,27,80,73.5,5,14.3,IPK 2.5–3.0,22,3,3,87.5,0
MHS0354,Ayu Sihombing,6,90,86.48,7,58.1,IPK < 2.5,30,7,6,21.8,0
MHS0355,Dt. Wardaya Wahyudin,31,93,66.61,4,52.6,IPK < 2.5,11,7,5,85.3,0
MHS0356,Kemal Hutapea,46,58,69.05,2,72.1,IPK < 2.5,5,14,2,24.6,0
MHS0357,Umi Iswahyudi,6,29,44.48,5,55.8,IPK > 3.0,30,10,2,55.4,0
MHS0358,Dr. Kiandra Jailani,30,95,75.88,3,56.4,IPK 2.5–3.0,27,11,1,40.2,0
MHS0359,Puti Mandala,21,72,60.0,8,45.8,IPK 2.5–3.0,30,8,3,87.2,0
MHS0360,Ibun Sihotang,44,70,88.84,2,34.3,IPK 2.5–3.0,10,12,4,31.9,1
MHS0361,Hj. Latika Anggriawan,37,58,81.16,3,50.8,IPK 2.5–3.0,10,14,2,42.0,1
MHS0362,"Cut Janet Manullang, M.Pd",13,80,66.12,6,16.3,IPK < 2.5,12,10,1,88.6,0
MHS0363,"Ghaliyati Usada, M.Pd",47,10,46.16,6,96.3,IPK < 2.5,28,14,6,52.9,0
MHS0364,Bakidin Maulana,43,22,82.97,3,72.9,IPK > 3.0,26,11,3,50.2,0
MHS0365,Bella Rahimah,33,96,79.99,5,95.5,IPK 2.5–3.0,23,4,3,30.6,0
MHS0366,Baktiono Purnawati,46,60,49.23,2,26.5,IPK < 2.5,22,6,7,66.1,0
MHS0367,Drs. Elma Prastuti,30,65,54.76,5,88.5,IPK < 2.5,35,2,1,11.1,1
MHS0368,"drg. Ismail Wastuti, S.H.",39,92,79.67,1,81.8,IPK > 3.0,34,9,1,14.0,1
MHS0369,Rini Hasanah,29,71,49.26,7,69.3,IPK > 3.0,37,3,7,57.9,0
MHS0370,"R. Pranawa Tarihoran, M.M.",28,41,85.89,1,64.4,IPK > 3.0,14,9,4,37.3,0
MHS0371,Makara Puspita,17,39,61.23,6,35.1,IPK < 2.5,16,8,1,86.3,0
MHS0372,Soleh Simbolon,11,38,44.35,8,82.6,IPK < 2.5,34,9,7,82.3,0
MHS0373,"Tgk. Mala Laksmiwati, S.Kom",40,58,80.79,0,52.6,IPK > 3.0,31,9,4,67.1,0
MHS0374,Luis Natsir,49,54,58.68,7,11.7,IPK 2.5–3.0,13,13,4,75.5,0
MHS0375,Hendri Waluyo,24,39,66.32,6,34.7,IPK > 3.0,25,11,5,63.4,0
MHS0376,"Garan Sirait, S.E.",5,25,45.62,5,93.9,IPK > 3.0,16,0,3,20.0,0
MHS0377,Marwata Kuswandari,12,49,40.13,5,85.8,IPK > 3.0,33,1,6,71.2,0
MHS0378,Gilang Utama,20,28,71.9,5,98.3,IPK > 3.0,37,4,3,26.8,1
MHS0379,Dr. Kani Wahyudin,18,27,65.76,8,64.7,IPK < 2.5,19,2,3,35.9,1
MHS0380,Darsirah Iswahyudi,16,10,69.68,1,28.5,IPK 2.5–3.0,6,1,5,75.5,1
MHS0381,"Drs. Olivia Suryono, M.TI.",27,87,79.69,0,20.5,IPK > 3.0,22,0,4,52.9,0
MHS0382,"Fitria Hutasoit, S.Sos",19,56,72.33,5,22.8,IPK 2.5–3.0,7,9,4,78.8,0
MHS0383,"Cut Mala Utama, S.H.",32,75,48.74,9,6.9,IPK 2.5–3.0,11,2,1,27.0,0
MHS0384,"Sutan Aswani Dabukke, S.Kom",38,47,58.04,7,42.1,IPK 2.5–3.0,22,0,5,58.6,1
MHS0385,"drg. Ajiman Pangestu, S.Pd",6,60,85.29,2,23.2,IPK > 3.0,37,11,1,16.7,0
MHS0386,Aditya Permadi,36,72,78.5,9,44.1,IPK < 2.5,35,0,5,61.4,0
MHS0387,R.A. Tami Sudiati,27,13,67.83,0,93.8,IPK > 3.0,15,11,1,71.0,0
MHS0388,"R.A. Dina Maryadi, S.Sos",26,10,52.78,8,45.9,IPK 2.5–3.0,8,0,2,56.8,0
MHS0389,Zulfa Hardiansyah,29,17,55.1,0,88.4,IPK 2.5–3.0,22,7,7,31.3,0
MHS0390,"Ibun Wijaya, S.Gz",26,38,76.6,2,62.5,IPK < 2.5,8,14,3,12.5,0
MHS0391,"Sutan Niyaga Sihombing, S.T.",26,64,82.56,7,28.5,IPK > 3.0,38,2,3,19.6,0
MHS0392,Kania Maheswara,46,12,73.57,2,38.8,IPK 2.5–3.0,33,10,6,59.8,0
MHS0393,Tami Hassanah,10,41,80.48,3,13.0,IPK < 2.5,28,0,7,84.8,0
MHS0394,Raharja Aryani,19,19,78.33,7,36.7,IPK 2.5–3.0,26,6,4,26.5,1
MHS0395,Uchita Zulkarnain,47,83,47.49,0,69.4,IPK < 2.5,6,9,6,68.8,0
MHS0396,Violet Gunawan,41,92,61.2,5,11.9,IPK < 2.5,10,2,2,79.3,1
MHS0397,Daryani Widodo,37,43,47.65,0,24.5,IPK > 3.0,29,7,6,51.7,0
MHS0398,Rachel Lestari,12,96,51.76,0,41.2,IPK 2.5–3.0,25,3,3,63.5,0
MHS0399,Harsanto Purnawati,48,64,83.46,7,98.3,IPK > 3.0,20,3,4,75.2,0
MHS0400,Zelda Mansur,48,41,63.64,3,79.6,IPK 2.5–3.0,35,4,2,30.9,0
MHS0401,Jono Mahendra,9,59,66.77,0,74.7,IPK > 3.0,18,5,3,33.8,0
MHS0402,"Drs. Bahuwarna Situmorang, S.Ked",43,16,48.92,9,16.0,IPK 2.5–3.0,32,6,7,10.1,0
MHS0403,Mahesa Hidayat,8,17,55.61,6,79.2,IPK > 3.0,36,13,1,87.0,0
MHS0404,Wadi Hutagalung,10,74,51.51,4,79.6,IPK < 2.5,32,13,5,83.4,0
MHS0405,Kayla Hariyah,49,66,50.31,4,62.1,IPK 2.5–3.0,13,3,2,71.2,1
MHS0406,"R.A. Jasmin Siregar, S.Kom",36,76,71.9,0,99.1,IPK 2.5–3.0,26,7,4,16.3,0
MHS0407,Tantri Gunawan,34,97,52.84,9,35.9,IPK < 2.5,36,12,6,45.8,0
MHS0408,Widya Kuswandari,39,96,71.6,5,94.4,IPK > 3.0,9,5,7,18.2,0
MHS0409,Elma Dabukke,44,68,42.92,8,91.9,IPK 2.5–3.0,27,13,6,11.3,0
MHS0410,Respati Maryadi,20,81,47.09,8,6.1,IPK 2.5–3.0,9,0,2,59.3,0
MHS0411,Almira Jailani,17,63,53.73,7,47.8,IPK > 3.0,36,0,7,86.9,0
MHS0412,"Gina Nasyiah, S.Ked",46,76,69.85,4,97.8,IPK < 2.5,14,8,4,82.2,0
MHS0413,Siti Nuraini,34,60,73.79,0,14.8,IPK > 3.0,19,9,2,65.7,0
MHS0414,"Garda Hartati, S.Kom",23,17,62.14,8,57.0,IPK > 3.0,11,5,4,17.7,0
MHS0415,Jaga Ramadan,21,43,62.29,0,98.0,IPK > 3.0,33,9,6,31.9,0
MHS0416,Harjo Simbolon,23,44,76.23,7,57.8,IPK 2.5–3.0,7,7,3,35.6,0
MHS0417,Ayu Santoso,32,97,40.79,4,23.0,IPK < 2.5,23,12,7,71.1,0
MHS0418,"dr. Tina Laksmiwati, M.TI.",30,87,57.05,2,60.3,IPK < 2.5,14,6,1,74.2,0
MHS0419,Taufan Widodo,41,41,80.94,6,24.4,IPK > 3.0,32,11,3,40.8,0
MHS0420,Omar Padmasari,30,55,70.16,6,54.4,IPK 2.5–3.0,33,5,1,43.4,0
MHS0421,Chandra Simbolon,27,25,56.86,8,12.0,IPK > 3.0,19,3,6,13.6,0
MHS0422,Usyi Yuliarti,13,77,85.28,6,62.5,IPK 2.5–3.0,39,6,7,33.1,0
MHS0423,Siska Hardiansyah,16,46,78.63,2,54.1,IPK 2.5–3.0,10,8,3,46.1,1
MHS0424,Salwa Halim,5,63,53.24,0,75.3,IPK 2.5–3.0,16,13,3,19.4,0
MHS0425,Caraka Fujiati,5,94,72.26,7,64.9,IPK 2.5–3.0,17,10,2,46.3,0
MHS0426,Upik Yuniar,38,23,69.79,2,57.2,IPK < 2.5,33,9,5,78.3,0
MHS0427,Muni Padmasari,36,64,60.06,7,70.5,IPK 2.5–3.0,23,9,6,56.5,0
MHS0428,R. Omar Suryatmi,29,57,58.35,7,18.7,IPK 2.5–3.0,7,13,4,16.3,0
MHS0429,Maria Narpati,44,91,57.18,4,61.6,IPK > 3.0,12,6,6,25.3,0
MHS0430,Kasiyah Hassanah,49,16,70.86,0,21.4,IPK > 3.0,12,0,4,48.0,0
MHS0431,Hani Pradana,5,83,62.12,9,92.9,IPK < 2.5,24,9,7,38.9,0
MHS0432,"Balamantri Andriani, S.I.Kom",20,16,81.59,6,11.5,IPK > 3.0,8,8,4,38.7,0
MHS0433,Jati Mahendra,43,42,73.48,9,45.9,IPK 2.5–3.0,25,12,1,52.3,0
MHS0434,Ir. Ayu Rahmawati,9,32,43.5,4,71.1,IPK > 3.0,7,3,4,56.8,0
MHS0435,Najam Sirait,26,94,72.01,7,48.5,IPK < 2.5,12,14,4,73.7,0
MHS0436,"Narji Widiastuti, S.Kom",33,28,53.56,8,13.7,IPK > 3.0,27,2,2,37.3,0
MHS0437,Ciaobella Puspita,7,28,69.64,6,57.6,IPK > 3.0,20,3,3,74.4,1
MHS0438,"Ir. Kiandra Zulaika, S.Gz",16,45,74.01,6,66.0,IPK < 2.5,17,3,6,37.1,0
MHS0439,"dr. Empluk Prabowo, M.TI.",30,38,51.54,0,71.9,IPK < 2.5,7,12,6,14.4,0
MHS0440,Olga Agustina,20,69,62.84,3,40.5,IPK 2.5–3.0,13,9,7,54.3,0
MHS0441,Jamil Mustofa,41,91,49.52,1,58.5,IPK > 3.0,18,10,7,57.0,0
MHS0442,Kunthara Budiman,26,11,42.62,1,47.8,IPK 2.5–3.0,17,1,4,84.8,0
MHS0443,Kairav Mahendra,33,10,58.92,1,68.8,IPK > 3.0,11,13,5,68.1,0
MHS0444,Laras Samosir,18,56,58.15,3,60.4,IPK > 3.0,19,11,6,83.4,0
MHS0445,"Tgk. Darman Laksmiwati, S.I.Kom",32,78,89.77,0,54.9,IPK 2.5–3.0,11,13,7,82.7,1
MHS0446,Enteng Permadi,9,29,62.32,3,28.7,IPK > 3.0,38,0,4,58.4,0
MHS0447,Rini Suryatmi,34,20,56.68,1,5.2,IPK > 3.0,26,11,7,52.2,0
MHS0448,Dt. Bakiman Tampubolon,9,11,69.02,4,21.5,IPK > 3.0,28,9,1,54.6,1
MHS0449,Himawan Purnawati,16,76,44.44,2,16.1,IPK < 2.5,5,11,1,88.3,1
MHS0450,Almira Halimah,20,96,88.08,7,47.7,IPK 2.5–3.0,14,0,7,71.9,1
MHS0451,Soleh Dongoran,30,21,71.75,3,63.2,IPK < 2.5,20,12,1,18.5,0
MHS0452,Titin Yulianti,30,29,77.74,0,25.2,IPK 2.5–3.0,12,13,7,72.3,0
MHS0453,Vivi Kuswandari,25,14,48.52,0,94.2,IPK 2.5–3.0,29,7,4,23.6,1
MHS0454,"Yosef Suwarno, S.Gz",43,46,60.47,9,5.6,IPK > 3.0,16,13,2,45.8,0
MHS0455,"Jaiman Ardianto, S.H.",40,47,61.13,2,78.4,IPK 2.5–3.0,29,1,5,26.8,1
MHS0456,Padmi Mandasari,37,18,81.09,8,64.4,IPK < 2.5,21,11,4,65.2,0
MHS0457,Dr. Perkasa Agustina,34,62,40.06,6,40.5,IPK < 2.5,30,9,2,80.2,0
MHS0458,Artanto Rahmawati,41,53,55.04,1,9.8,IPK < 2.5,18,4,2,33.2,0
MHS0459,Shakila Gunarto,27,95,89.06,8,64.6,IPK 2.5–3.0,27,11,6,16.6,0
MHS0460,drg. Paris Safitri,14,33,63.74,9,41.6,IPK < 2.5,10,3,4,33.9,0
MHS0461,Cindy Yulianti,9,90,59.13,1,93.9,IPK 2.5–3.0,9,7,4,63.8,0
MHS0462,Citra Namaga,40,83,45.99,2,56.5,IPK < 2.5,29,1,7,36.3,0
MHS0463,Shania Pradipta,38,39,88.71,9,94.3,IPK < 2.5,22,9,2,32.2,0
MHS0464,Rangga Rahmawati,35,68,41.0,1,25.9,IPK 2.5–3.0,17,8,2,24.8,1
MHS0465,"KH. Cahyo Hardiansyah, M.Pd",14,96,76.86,2,73.9,IPK < 2.5,18,6,2,49.8,1
MHS0466,dr. Diana Suryatmi,23,90,78.43,5,63.6,IPK > 3.0,32,14,7,32.1,0
MHS0467,Harja Rahimah,36,90,52.18,8,75.2,IPK 2.5–3.0,22,12,6,68.5,0
MHS0468,Kardi Tamba,5,23,73.58,8,25.4,IPK 2.5–3.0,32,6,4,16.1,0
MHS0469,Umi Namaga,9,18,44.65,6,68.2,IPK 2.5–3.0,31,0,2,63.1,0
MHS0470,Ira Novitasari,49,49,52.85,2,52.3,IPK > 3.0,36,13,1,29.0,0
MHS0471,Nyana Hutasoit,8,75,79.4,3,75.6,IPK 2.5–3.0,13,11,4,49.1,0
MHS0472,Ratna Zulaika,20,34,83.23,5,36.1,IPK < 2.5,36,1,7,32.9,0
MHS0473,Galang Winarno,28,82,70.42,4,89.6,IPK < 2.5,24,3,6,67.8,0
MHS0474,"Ajiono Natsir, S.T.",20,31,65.34,1,13.0,IPK < 2.5,32,3,1,85.6,0
MHS0475,Latif Zulaika,6,13,47.97,5,81.7,IPK 2.5–3.0,37,10,7,83.4,0
MHS0476,R. Danang Maryati,32,35,43.16,2,86.8,IPK < 2.5,8,13,3,56.7,0
MHS0477,Erik Wijayanti,36,67,45.88,7,82.6,IPK 2.5–3.0,38,2,4,47.0,0
MHS0478,Dt. Joko Hutagalung,31,38,51.37,1,53.7,IPK < 2.5,7,6,3,75.5,0
MHS0479,Rini Yolanda,24,96,57.08,0,46.6,IPK > 3.0,30,11,7,64.7,1
MHS0480,"Dr. Ajeng Kurniawan, S.T.",28,46,59.05,8,99.6,IPK > 3.0,12,7,7,24.7,1
MHS0481,Rahmi Puspita,16,84,57.32,2,26.8,IPK > 3.0,10,1,7,75.7,0
MHS0482,Vero Melani,39,79,51.95,0,57.0,IPK > 3.0,20,3,2,44.3,0
MHS0483,"Dipa Mangunsong, S.IP",37,27,65.49,6,68.7,IPK 2.5–3.0,28,13,6,25.1,0
MHS0484,"Nova Winarsih, S.Pt",37,94,81.26,9,71.6,IPK < 2.5,34,2,2,32.5,0
MHS0485,"Sakura Marbun, M.M.",47,51,53.99,4,24.4,IPK > 3.0,17,1,6,31.4,0
MHS0486,Laila Suryatmi,41,50,87.12,4,67.1,IPK 2.5–3.0,9,11,5,51.5,0
MHS0487,Gandi Palastri,16,47,83.67,0,82.7,IPK > 3.0,29,12,2,28.7,1
MHS0488,Paramita Suartini,7,43,48.09,8,9.8,IPK > 3.0,24,13,3,19.9,0
MHS0489,Jail Narpati,5,26,79.31,6,91.6,IPK 2.5–3.0,22,5,6,19.9,0
MHS0490,Humaira Puspasari,37,46,68.73,7,7.8,IPK 2.5–3.0,22,12,2,56.7,1
MHS0491,Uda Hidayat,44,34,68.33,8,38.8,IPK < 2.5,6,3,4,68.8,0
MHS0492,"Ir. Nadia Najmudin, S.Pt",14,85,59.55,5,6.5,IPK < 2.5,14,5,7,35.7,0
MHS0493,"Sarah Siregar, S.Sos",47,96,65.06,4,12.3,IPK > 3.0,16,1,6,12.8,0
MHS0494,Ratna Permadi,48,95,59.86,5,91.6,IPK > 3.0,17,11,6,20.2,0
MHS0495,Kayla Widiastuti,33,94,66.99,1,38.7,IPK < 2.5,15,3,2,83.2,0
MHS0496,Rosman Hidayanto,17,36,71.4,3,45.4,IPK < 2.5,23,10,5,49.5,0
MHS0497,KH. Kardi Rajata,16,66,73.72,2,25.5,IPK 2.5–3.0,39,5,2,46.3,0
MHS0498,"KH. Johan Yuliarti, S.I.Kom",35,40,66.62,6,61.7,IPK < 2.5,30,13,3,13.0,0
MHS0499,Ulya Nainggolan,6,15,76.07,8,61.5,IPK < 2.5,18,4,3,68.3,0
MHS0500,"Kasusra Wahyudin, M.Kom.",39,49,47.06,4,40.4,IPK > 3.0,28,2,6,52.2,0
MHS0501,KH. Martani Prasasta,27,21,50.6,5,36.6,IPK < 2.5,5,7,6,26.2,1
MHS0502,Saiful Prasetyo,21,62,80.94,9,89.1,IPK > 3.0,26,6,2,18.8,1
MHS0503,Puti Nabila Permata,30,80,56.13,1,41.4,IPK < 2.5,27,2,3,40.7,0
MHS0504,Hj. Usyi Usamah,12,19,41.14,2,51.9,IPK 2.5–3.0,23,5,3,77.0,1
